City, Lat, Lng, Max Temp, Humidity, Cloudiness, Wind Speed, Country, Date
Vaini, -21.2, -175.2, 77, 88, 90, 5.75, TO, 1617499512 
Shepsi, 44.0361, 39.1489, 50.22, 77, 92, 18.52, RU, 1617499512 
Port Alfred, -33.5906, 26.891, 60.98, 82, 1, 10.98, ZA, 1617499513 
Huallanca, -9.8993, -76.9417, 48.22, 91, 100, 3.71, PE, 1617499513 
Mataura, -46.1927, 168.8643, 60.01, 88, 92, 18.01, NZ, 1617499514 
Yellowknife, 62.456, -114.3525, 10.4, 56, 75, 9.22, CA, 1617499514 
Ushuaia, -54.8, -68.3, 39.2, 75, 40, 13.8, AR, 1617499515 
Upernavik, 72.7868, -56.1549, -22.85, 95, 19, 6.08, GL, 1617499515 
New Norfolk, -42.7826, 147.0587, 66, 46, 84, 5.99, AU, 1617499516 
Río Cuarto, -33.1307, -64.3499, 64.4, 77, 0, 11.5, AR, 1617499516 
Tuktoyaktuk, 69.4541, -133.0374, -9.4, 77, 1, 5.75, CA, 1617499517 
Porto-Novo, 6.4965, 2.6036, 80.35, 83, 8, 7.81, BJ, 1617499517 
Esim, 4.8699, -2.2405, 79.2, 91, 28, 6.55, GH, 1617499517 
Albany, 42.6001, -73.9662, 39.2, 41, 75, 6.91, US, 1617499518 
Puerto Ayora, -0.7393, -90.3518, 77, 94, 48, 3, EC, 1617499518 
Kloulklubed, 7.0419, 134.2556, 86, 74, 75, 5.75, PW, 1617499519 
Torbay, 47.6666, -52.7314, 39, 100, 90, 10.36, CA, 1617499520 
George Town, 5.4112, 100.3354, 80.6, 94, 40, 4.61, MY, 1617499520 
Ribeira Grande, 38.5167, -28.7, 61.93, 85, 100, 28.68, PT, 1617499521 
Clyde River, 70.4692, -68.5914, -16.6, 83, 40, 6.91, CA, 1617499521 
Punta Arenas, -53.15, -70.9167, 37.4, 75, 20, 4.61, CL, 1617499342 
Borovoy, 55.4333, 86.0833, 26.6, 80, 0, 6.71, RU, 1617499522 
Curuçá, -0.7289, -47.8481, 74.48, 96, 100, 3.31, BR, 1617499522 
Horsham, 51.064, -0.3272, 41, 70, 75, 5.75, GB, 1617499523 
Vila Franca do Campo, 37.7167, -25.4333, 60.8, 88, 75, 18.41, PT, 1617499523 
Fort Nelson, 58.8053, -122.7002, 48.2, 23, 20, 2.3, CA, 1617499523 
Aksha, 50.2814, 113.2867, 39.27, 33, 100, 8.79, RU, 1617499524 
Jamestown, 42.097, -79.2353, 42.8, 33, 90, 8.05, US, 1617499358 
Butaritari, 3.0707, 172.7902, 82.78, 77, 18, 12.97, KI, 1617499524 
Busselton, -33.65, 115.3333, 66, 87, 100, 5.99, AU, 1617499525 
Havøysund, 70.9963, 24.6622, 28.4, 100, 75, 16.11, NO, 1617499526 
Miraflores, 19.2167, -98.8083, 69.8, 24, 1, 19.57, MX, 1617499527 
Faanui, -16.4833, -151.75, 82.56, 70, 13, 5.14, PF, 1617499527 
Nikolskoye, 59.7035, 30.7861, 34, 93, 0, 6.71, RU, 1617499527 
Avarua, -21.2078, -159.775, 84.2, 74, 97, 13.8, CK, 1617499528 
Chapada dos Guimarães, -15.4606, -55.7497, 75.2, 88, 75, 2.3, BR, 1617499528 
Lincoln, 40.8, -96.667, 68, 22, 1, 5.75, US, 1617499395 
Grand Gaube, -20.0064, 57.6608, 79, 82, 8, 5.01, MU, 1617499529 
Constitución, -35.3333, -72.4167, 56.39, 75, 0, 8.16, CL, 1617499529 
Port Hardy, 50.6996, -127.4199, 44.6, 65, 75, 11.5, CA, 1617499246 
Katsuura, 35.1333, 140.3, 71.01, 67, 95, 5.99, JP, 1617499530 
Tiksi, 71.6872, 128.8694, -11.56, 99, 100, 7.25, RU, 1617499530 
Santiago, -33.4569, -70.6483, 75, 49, 0, 9.22, CL, 1617499412 
Cape Town, -33.9258, 18.4232, 66, 94, 75, 4.61, ZA, 1617499531 
Zheleznodorozhnyy, 55.7503, 38.0042, 33.01, 100, 10, 4.47, RU, 1617499310 
Hilo, 19.7297, -155.09, 73, 83, 90, 9.22, US, 1617499532 
Port Elizabeth, -33.918, 25.5701, 57.2, 88, 0, 3.44, ZA, 1617499355 
Ancud, -41.8697, -73.8203, 50, 87, 0, 2.89, CL, 1617499533 
Yulara, -25.2406, 130.9889, 82.4, 28, 0, 16.11, AU, 1617499534 
Talnakh, 69.4865, 88.3972, -11.69, 80, 6, 9.82, RU, 1617499534 
Panalingaan, 8.7842, 117.4231, 82.99, 71, 100, 1.45, PH, 1617499534 
La Ferté-Bernard, 48.1863, 0.6536, 41, 75, 0, 9.22, FR, 1617499535 
Chui, -33.6971, -53.4616, 65.14, 87, 0, 7.74, UY, 1617499535 
San Cristobal, 7.7669, -72.225, 80.6, 83, 75, 2.3, VE, 1617499536 
Hobart, -42.8794, 147.3294, 66.2, 37, 40, 16.11, AU, 1617499318 
Harper, 4.375, -7.7169, 78.85, 89, 100, 6.98, LR, 1617499536 
Atuona, -9.8, -139.0333, 80.69, 73, 100, 11.01, PF, 1617499537 
Mahébourg, -20.4081, 57.7, 78.8, 89, 75, 6.91, MU, 1617499538 
Tezu, 27.9167, 96.1667, 74.91, 33, 99, 1.61, IN, 1617499538 
Nizhneudinsk, 54.9076, 99.0276, 35.33, 90, 100, 7.52, RU, 1617499539 
Pisco, -13.7, -76.2167, 73.4, 78, 100, 3.44, PE, 1617498878 
Ossora, 59.2353, 163.0719, 14.92, 72, 100, 6.11, RU, 1617499540 
Grandview, 38.8858, -94.533, 66.2, 48, 1, 8.21, US, 1617499541 
Saint Paul Harbor, 57.79, -152.4072, 48.2, 46, 1, 13.8, US, 1617499541 
Bredasdorp, -34.5322, 20.0403, 50, 93, 0, 1.14, ZA, 1617499541 
Fallon, 39.4735, -118.7774, 78.8, 7, 75, 6.91, US, 1617499542 
Rikitea, -23.1203, -134.9692, 77.95, 62, 3, 17.49, PF, 1617499542 
Kapaa, 22.0752, -159.319, 77, 65, 40, 21.85, US, 1617499542 
Manokwari, -0.8667, 134.0833, 83.12, 71, 100, 2.75, ID, 1617499543 
Erzin, 36.9559, 36.2, 57.99, 88, 37, 1.86, TR, 1617499544 
Nyurba, 63.2842, 118.3319, -4.59, 95, 100, 3.53, RU, 1617499544 
Saint George, 37.1041, -113.5841, 86, 9, 1, 10.36, US, 1617499514 
Saskylakh, 71.9167, 114.0833, -16.6, 97, 22, 1.9, RU, 1617499545 
Huron, 41.1501, -82.5499, 55.4, 38, 75, 10.36, US, 1617499531 
Mogadishu, 2.0371, 45.3438, 81.45, 79, 19, 9.53, SO, 1617499327 
Souillac, -20.5167, 57.5167, 78.8, 89, 75, 6.91, MU, 1617499547 
Meadow Lake, 34.8014, -106.5436, 77, 15, 20, 2.42, US, 1617499547 
Airai, -8.9266, 125.4092, 61.25, 97, 100, 6.08, TL, 1617499548 
Narsaq, 60.9167, -46.05, 39.2, 87, 90, 2.3, GL, 1617499548 
Bluff, -46.6, 168.3333, 60.01, 88, 82, 18.01, NZ, 1617499549 
Ürümqi, 43.801, 87.6005, 42.8, 61, 0, 2.24, CN, 1617499549 
Tres Arroyos, -38.3739, -60.2798, 61.68, 80, 0, 9.71, AR, 1617499549 
Takoradze, 4.8845, -1.7554, 79.25, 89, 57, 8.21, GH, 1617499550 
Kavaratti, 10.5669, 72.642, 82.11, 65, 68, 8.01, IN, 1617499550 
Kuching, 1.55, 110.3333, 78.8, 83, 20, 1.03, MY, 1617499550 
Lebu, -37.6167, -73.65, 52.97, 91, 6, 7.92, CL, 1617499551 
Buraidah, 26.326, 43.975, 59, 36, 0, 9.22, SA, 1617498951 
Dikson, 73.5069, 80.5464, -14.98, 83, 97, 5.64, RU, 1617499551 
Lagoa, 39.05, -27.9833, 60.03, 88, 79, 30.53, PT, 1617499552 
Hermanus, -34.4187, 19.2345, 63, 93, 0, 1.99, ZA, 1617499552 
Necochea, -38.5473, -58.7368, 64, 79, 5, 5.01, AR, 1617499553 
Coffs Harbour, -30.3, 153.1333, 73.4, 78, 100, 5.75, AU, 1617499553 
Namatanai, -3.6667, 152.4333, 85.73, 64, 100, 0.74, PG, 1617499390 
Gamba, -2.65, 10, 74.17, 95, 100, 3.67, GA, 1617499554 
São Filipe, 14.8961, -24.4956, 72.99, 73, 100, 10.25, CV, 1617499554 
Bethel, 41.3712, -73.414, 39.99, 41, 1, 3.44, US, 1617499554 
Egvekinot, 66.3167, -179.1667, -2.16, 72, 100, 16.96, RU, 1617499555 
Krasnyy Yar, 46.5331, 48.3456, 44.6, 76, 0, 8.95, RU, 1617499555 
Valdivia, -39.8142, -73.2459, 48.2, 93, 100, 2.3, CL, 1617499556 
Sioux Lookout, 50.1001, -91.917, 42.8, 42, 90, 3.44, CA, 1617499556 
Nchelenge, -9.3451, 28.734, 67.14, 85, 90, 3.76, ZM, 1617499557 
Chipinge, -20.1883, 32.6236, 56.57, 94, 1, 2.24, ZW, 1617499558 
Walvis Bay, -22.9575, 14.5053, 68, 68, 4, 4.61, NA, 1617499296 
Swan Hill, -35.3378, 143.5544, 85.15, 22, 0, 5.26, AU, 1617499559 
Haines Junction, 60.7522, -137.5108, 33.8, 40, 94, 11.5, CA, 1617499560 
Ngunguru, -35.6167, 174.5, 75, 64, 0, 5.99, NZ, 1617499560 
Lubango, -14.9172, 13.4925, 60.39, 82, 54, 3.36, AO, 1617499520 
Elk City, 35.412, -99.4043, 66.2, 55, 1, 9.22, US, 1617499561 
Hong Kong, 22.2855, 114.1577, 80.01, 83, 7, 11.88, HK, 1617499323 
Kuna, 43.4918, -116.4201, 75.2, 14, 1, 4.61, US, 1617499319 
Bengkulu, -3.8004, 102.2655, 78.91, 80, 84, 17, ID, 1617499562 
Naze, 28.3667, 129.4833, 73.4, 88, 40, 9.22, JP, 1617499562 
Korla, 41.7597, 86.1469, 46.94, 28, 26, 13.11, CN, 1617499562 
Ahar, 38.4774, 47.0699, 40.68, 58, 0, 5.37, IR, 1617499563 
Sebezh, 56.2955, 28.4654, 30.49, 97, 66, 4.05, RU, 1617499563 
Liliani, 32.2065, 72.9537, 62.73, 19, 7, 4.03, PK, 1617499564 
San Luis, -33.295, -66.3356, 65.28, 63, 3, 9.24, AR, 1617499269 
Turbo, 8.0937, -76.7269, 78.13, 89, 100, 6.33, CO, 1617499564 
Boueni, -12.9025, 45.0761, 82.4, 83, 75, 6.91, YT, 1617499565 
Port Hedland, -20.3167, 118.5667, 93.2, 27, 100, 10.36, AU, 1617499565 
College, 64.8569, -147.8028, 28, 80, 90, 3.44, US, 1617499316 
Belaya Gora, 68.5333, 146.4167, 1.63, 82, 51, 3.36, RU, 1617499566 
Peniche, 39.3558, -9.3811, 57, 88, 2, 3, PT, 1617499567 
Hithadhoo, -0.6, 73.0833, 83.5, 74, 10, 16.2, MV, 1617499568 
Bonavista, 48.6499, -53.1147, 39.2, 87, 16, 3.44, CA, 1617499568 
Geraldton, -28.7667, 114.6, 77, 53, 0, 19.57, AU, 1617499568 
Coahuayana Viejo, 18.7333, -103.6833, 82.4, 36, 40, 4.12, MX, 1617499569 
Ponta do Sol, 32.6667, -17.1, 57, 68, 45, 3, PT, 1617499569 
Qaanaaq, 77.484, -69.3632, -20.63, 77, 35, 7.47, GL, 1617499570 
San Quintín, 30.4833, -115.95, 62.73, 72, 7, 17, MX, 1617499570 
Tasiilaq, 65.6145, -37.6368, 17.6, 53, 0, 16.11, GL, 1617499571 
Assiniboia, 49.6334, -105.9845, 55.4, 24, 89, 6.91, CA, 1617499571 
San Patricio, 28.017, -97.5169, 66.99, 68, 75, 13.8, US, 1617499571 
Kieta, -6.2167, 155.6333, 82.8, 78, 100, 3.87, PG, 1617499572 
Lokosovo, 61.1333, 74.8167, 30.43, 91, 100, 11.03, RU, 1617499573 
Dingle, 10.9995, 122.6711, 84.34, 63, 13, 13.49, PH, 1617499573 
Hastings, 50.8552, 0.5729, 43, 75, 94, 1.01, GB, 1617499574 
Iqaluit, 63.7506, -68.5145, 0, 71, 75, 2.3, CA, 1617499574 
The Valley, 18.217, -63.0578, 78.8, 78, 20, 6.91, AI, 1617499575 
Balikpapan, -1.2675, 116.8289, 79.14, 86, 100, 1.1, ID, 1617499562 
Olinda, -8.0089, -34.8553, 78.8, 78, 40, 4.61, BR, 1617499575 
Aleksandrov Gay, 50.147, 48.5704, 43.81, 87, 100, 9.31, RU, 1617499576 
Verkh-Usugli, 52.7, 115.1667, 33.6, 56, 62, 5.7, RU, 1617499576 
Dunedin, -45.8742, 170.5036, 71.19, 47, 7, 7.81, NZ, 1617499576 
Kaduy, 59.2, 37.15, 22.98, 98, 49, 3.33, RU, 1617499577 
Ostrovnoy, 68.0531, 39.5131, 22.8, 91, 100, 15.35, RU, 1617499577 
Iberia, 29.9502, -91.7507, 61, 63, 75, 3.29, US, 1617499577 
Kaitangata, -46.2817, 169.8464, 69.17, 53, 34, 15.95, NZ, 1617499578 
Thompson, 55.7435, -97.8558, 39.2, 45, 20, 4.61, CA, 1617499579 
Richards Bay, -28.783, 32.0377, 65.48, 76, 16, 5.95, ZA, 1617499509 
Tessalit, 20.1986, 1.0114, 76.55, 8, 17, 10.22, ML, 1617499579 
Vanimo, -2.6741, 141.3028, 83.68, 72, 100, 2.1, PG, 1617499580 
Nemuro, 43.3236, 145.575, 39.2, 93, 75, 4.61, JP, 1617499580 
Saldanha, -33.0117, 17.9442, 64.4, 88, 0, 9.22, ZA, 1617499580 
Rovenki, 48.0833, 39.3776, 35.15, 89, 98, 4.7, UA, 1617499581 
Palmer, 42.1584, -72.3287, 36, 47, 20, 2.84, US, 1617499581 
Jaisinghnagar, 23.7, 81.3833, 70.25, 10, 0, 5.97, IN, 1617499582 
Salalah, 17.0151, 54.0924, 75.2, 73, 0, 4.61, OM, 1617499582 
Aguié, 13.506, 7.7786, 70.99, 11, 0, 8.41, NE, 1617499583 
Sturgis, 41.7992, -85.4192, 59, 38, 1, 3.44, US, 1617499583 
Basco, 20.4487, 121.9702, 78.76, 77, 8, 12.35, PH, 1617499584 
Cocorit, 27.5833, -109.9667, 82.4, 17, 1, 4.61, MX, 1617499584 
Bambous Virieux, -20.3428, 57.7575, 79, 89, 75, 6.91, MU, 1617499585 
Tela, 15.7833, -87.45, 78.8, 94, 75, 6.91, HN, 1617499585 
Rocha, -34.4833, -54.3333, 59.88, 93, 0, 4.34, UY, 1617499586 
Chapais, 49.7834, -74.8492, 30.2, 40, 75, 2.3, CA, 1617499587 
Makakilo City, 21.3469, -158.0858, 82.4, 47, 40, 13.8, US, 1617499587 
Colac, -38.3333, 143.5833, 70, 83, 0, 6.91, AU, 1617499587 
Penzance, 50.1186, -5.5371, 42.01, 93, 0, 9.22, GB, 1617499588 
Esperance, -33.8667, 121.9, 68, 68, 90, 16.11, AU, 1617499588 
Bucerías, 20.75, -105.3333, 77, 83, 40, 6.91, MX, 1617499559 
Pyshchug, 58.8873, 45.7134, 22.53, 95, 22, 3.98, RU, 1617499589 
Doha, 25.2867, 51.5333, 71.6, 49, 0, 17.27, QA, 1617499570 
Vardø, 70.3705, 31.1107, 33.42, 87, 100, 20.96, NO, 1617499590 
Troitskoye, 52.9821, 84.6757, 22.01, 93, 78, 4.5, RU, 1617499590 
Pevek, 69.7008, 170.3133, -9.06, 95, 99, 5.08, RU, 1617499591 
Bowen, -20.0167, 148.2333, 78.8, 83, 90, 11.5, AU, 1617499591 
Mae Sot, 16.7167, 98.5667, 75.2, 94, 75, 4.61, TH, 1617499591 
Mehamn, 71.0357, 27.8492, 32.07, 84, 100, 18.39, NO, 1617499592 
La Brea, 15.8, -85.9667, 75.2, 94, 75, 4.61, HN, 1617499592 
Khatanga, 71.9667, 102.5, -15.7, 90, 10, 4.59, RU, 1617499593 
Fortuna, 40.5982, -124.1573, 55, 76, 75, 8.05, US, 1617499593 
Minudasht, 37.2289, 55.3747, 51.8, 93, 90, 6.91, IR, 1617499593 
Payson, 40.0444, -111.7321, 77, 14, 40, 0.81, US, 1617499594 
Marsh Harbour, 26.5412, -77.0636, 67.73, 57, 3, 24.05, BS, 1617499594 
San Jose, 37.3394, -121.895, 63, 58, 75, 14.97, US, 1617499368 
Castro, -24.7911, -50.0119, 57.2, 96, 81, 4.52, BR, 1617499595 
Ginir, 7.1333, 40.7, 59.59, 73, 59, 3.69, ET, 1617499595 
Jiménez, 28.3333, -105.4, 86, 11, 1, 13.8, MX, 1617499596 
Lüderitz, -26.6481, 15.1594, 69.06, 56, 5, 15.64, NA, 1617499596 
Havelock, 34.8791, -76.9013, 48, 61, 1, 4.61, US, 1617499345 
Qui Nhon, 13.7667, 109.2333, 79.83, 83, 86, 5.66, VN, 1617499409 
Callaway, 30.153, -85.5699, 57, 67, 100, 3.87, US, 1617499597 
Nuuk, 64.1835, -51.7216, 24.8, 58, 75, 25.32, GL, 1617499597 
Mackay, -21.15, 149.2, 77, 88, 75, 16.11, AU, 1617499598 
La Palma, 33.8464, -118.0467, 71.6, 52, 1, 8.05, US, 1617499598 
Santa Inês, -3.6667, -45.38, 74.57, 95, 100, 3.56, BR, 1617499599 
Barrow, 71.2906, -156.7887, -9.4, 70, 1, 5.75, US, 1617499599 
Wasilla, 61.5814, -149.4394, 39, 60, 90, 3.44, US, 1617499491 
Sept-Îles, 50.2001, -66.3821, 26.6, 74, 90, 2.3, CA, 1617499600 
Mil'kovo, 54.7167, 158.6167, 26.82, 88, 100, 11.61, RU, 1617499600 
Guane, 22.2025, -84.0875, 70.63, 56, 12, 14.07, CU, 1617499601 
Quatre Cocos, -20.2078, 57.7625, 79, 89, 75, 6.91, MU, 1617499601 
Kokoda, -8.8785, 147.7407, 76.32, 93, 100, 0.76, PG, 1617499390 
Batemans Bay, -35.7167, 150.1833, 81, 65, 66, 1.01, AU, 1617499602 
Zhuhai, 22.2769, 113.5678, 80.6, 74, 40, 10.36, CN, 1617499602 
East London, -33.0153, 27.9116, 61.74, 78, 5, 10.8, ZA, 1617499386 
Mar del Plata, -38.0023, -57.5575, 66.99, 88, 0, 5.75, AR, 1617499603 
Sandpoint, 48.2766, -116.5533, 60.01, 31, 1, 4.61, US, 1617499603 
Anchorage, 61.2181, -149.9003, 36, 64, 90, 3.44, US, 1617499505 
Kruisfontein, -34.0033, 24.7314, 59.29, 51, 0, 5.55, ZA, 1617499604 
Alexandria, 31.2156, 29.9553, 53.6, 82, 0, 4.61, EG, 1617499604 
Anadyr, 64.75, 177.4833, 3.2, 78, 75, 8.95, RU, 1617499605 
Bègles, 44.8084, -0.5481, 46.4, 61, 0, 6.91, FR, 1617499605 
Horki, 54.2861, 30.9842, 31.48, 85, 71, 5.77, BY, 1617499605 
Onalaska, 43.8844, -91.2351, 60.8, 33, 1, 2.84, US, 1617499336 
Cabo San Lucas, 22.8909, -109.9124, 82.4, 26, 20, 5.75, MX, 1617499506 
Hasaki, 35.7333, 140.8333, 72, 56, 75, 16.11, JP, 1617499607 
Floriano, -6.7669, -43.0225, 79.74, 68, 73, 2.01, BR, 1617499513 
Atar, 20.5169, -13.0499, 82.11, 20, 29, 7.78, MR, 1617499607 
Cidreira, -30.1811, -50.2056, 72.52, 76, 91, 16.49, BR, 1617499608 
Sur, 22.5667, 59.5289, 84.76, 35, 6, 7.54, OM, 1617499608 
Madera, 37.1666, -119.8343, 69.01, 54, 100, 1.01, US, 1617499608 
Abomsa, 9.9833, 39.9833, 68.94, 45, 6, 3.47, ET, 1617499609 
Leningradskiy, 69.3833, 178.4167, -3.41, 89, 100, 6.22, RU, 1617499609 
Hattiesburg, 31.3271, -89.2903, 59, 55, 1, 3.44, US, 1617499610 
Carnarvon, -24.8667, 113.6333, 84.2, 42, 0, 18.41, AU, 1617499610 
Leander, 30.5788, -97.8531, 63, 84, 100, 5.79, US, 1617499611 
Sri Aman, 1.2376, 111.4621, 78.8, 89, 20, 1.12, MY, 1617499611 
Sonoita, 31.85, -112.8333, 91, 10, 3, 3, MX, 1617499611 
Waipawa, -41.4122, 175.5153, 64.4, 63, 40, 33.38, NZ, 1617499612 
Sirte, 31.2089, 16.5887, 72.28, 26, 3, 17.9, LY, 1617499612 
Masindi, 1.6744, 31.715, 63.07, 98, 80, 3.94, UG, 1617499613 
Aykhal, 66, 111.5, -11.18, 96, 100, 6.89, RU, 1617499613 
Pochutla, 15.7432, -96.4661, 87.8, 48, 40, 11.5, MX, 1617499613 
Gargždai, 55.7128, 21.4033, 35.6, 93, 20, 4.61, LT, 1617499614 
Faya, 18.3851, 42.4509, 62.6, 72, 0, 2.95, SA, 1617499614 
Belokurikha, 51.9959, 84.9896, 29.55, 81, 11, 3.38, RU, 1617499615 
Sobolevo, 54.4299, 31.8996, 32.16, 90, 83, 4.79, RU, 1617499615 
Vuktyl, 63.8567, 57.3094, 19.83, 95, 100, 5.06, RU, 1617499616 
Puerto Cabello, 10.4731, -68.0125, 80.6, 65, 0, 4.52, VE, 1617499616 
Fare, -16.7, -151.0167, 82.27, 70, 16, 4.94, PF, 1617499616 
Sinnamary, 5.3833, -52.95, 77.59, 90, 99, 13.4, GF, 1617499617 
Seoul, 37.5683, 126.9778, 53.6, 62, 0, 11.5, KR, 1617499351 
Bundaberg, -24.85, 152.35, 71.6, 94, 90, 18.41, AU, 1617499390 
Provideniya, 64.3833, -173.3, 9.84, 81, 100, 8.46, RU, 1617499618 
Thessalon, 46.2501, -83.5666, 37.4, 75, 1, 3.44, CA, 1617499618 
Saint-Leu, -21.15, 55.2833, 77, 69, 0, 3.44, RE, 1617499619 
Nouakchott, 18.0858, -15.9785, 73.4, 60, 0, 13.8, MR, 1617499435 
Nanortalik, 60.1432, -45.2371, 35.51, 98, 100, 9.55, GL, 1617499619 
Tallahassee, 30.4383, -84.2807, 57.2, 44, 40, 3.09, US, 1617499572 
Maceió, -9.6658, -35.7353, 78.8, 89, 75, 3.44, BR, 1617499440 
Sungai Raya, 0.7, 108.9, 81.64, 71, 81, 5.41, ID, 1617499620 
Sistranda, 63.7256, 8.834, 42.8, 87, 75, 33.38, NO, 1617499620 
Touros, -5.1989, -35.4608, 75.2, 94, 75, 4.61, BR, 1617499621 
Honningsvåg, 70.9821, 25.9704, 32.25, 82, 100, 22.12, NO, 1617499621 
Socuéllamos, 39.2858, -2.7921, 46.99, 79, 7, 4.99, ES, 1617499622 
Larap, 14.299, 122.6504, 80.62, 83, 9, 9.91, PH, 1617499623 
Ghanzi, -21.5667, 21.7833, 70.2, 44, 0, 3.49, BW, 1617499623 
Mount Gambier, -37.8333, 140.7667, 69.8, 64, 40, 10.36, AU, 1617499623 
Pacific Grove, 36.6177, -121.9166, 57, 74, 100, 7.92, US, 1617499559 
Sterling, 39.0062, -77.4286, 48.2, 29, 20, 5.75, US, 1617499439 
Simões, -7.5989, -40.8178, 78.42, 44, 15, 8.63, BR, 1617499625 
Old Shinyanga, -3.55, 33.4, 66.02, 88, 89, 2.46, TZ, 1617499625 
Port Lincoln, -34.7333, 135.8667, 73.09, 65, 0, 8.23, AU, 1617499625 
Maxixe, -23.8597, 35.3472, 72.86, 79, 81, 10.85, MZ, 1617499626 
Srednekolymsk, 67.45, 153.6833, 8.65, 75, 16, 6.31, RU, 1617499626 
Nadym, 65.5333, 72.5167, 29.48, 95, 100, 7.16, RU, 1617499627 
Mwense, -10.3845, 28.698, 63.91, 95, 50, 2.8, ZM, 1617499627 
Zyryanka, 65.75, 150.85, 6.13, 80, 63, 6.06, RU, 1617499627 
Pangnirtung, 66.1451, -65.7125, -3.82, 69, 100, 7.58, CA, 1617499628 
Ilulissat, 69.2167, -51.1, 3.2, 66, 2, 9.22, GL, 1617499628 
San Fernando del Valle de Catamarca, -28.4696, -65.7852, 59, 89, 100, 1.99, AR, 1617499589 
